scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Dipturus batis,Common skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Dipturus laevis,Barndoor skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Dissostichus eleginoides,Patagonian toothfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Dissostichus mawsoni,Antarctic toothfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Engraulis anchoita,Argentine anchoita,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Engraulis encrasicolus,Anchovy,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Engraulis japonicus,Japanese anchovy,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Engraulis ringens,Peruvian anchoveta,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Enteroctopus dofleini,Giant Pacific octopus,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Eopsetta grigorjewi,Round-nose flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Eopsetta jordani,Petrale sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Epigonus crassicaudus,Deepwater cardinalfish,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Epigonus telescopus,Black cardinalfish,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Epinephelus flavolimbatus,Yellowedge grouper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Epinephelus itajara,Goliath grouper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Epinephelus morio,Red grouper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Epinephelus niveatus,Snowy grouper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Etelis coruscans,Flame snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Ethmalosa fimbriata,Bonga,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Etrumeus teres,Round herring,Forage Fish,forage fish,"Herrings, sardines, anchovies"
Eutrigla gurnardus,Grey gurnard,Other Marine,other scorpaenids,Miscellaneous demersal fishes
Farfantepenaeus aztecus,Brown shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Farfantepenaeus duorarum,Pink shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Farfantepenaeus notialis,Southern pink shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Gadus macrocephalus,Pacific cod,Gadids,gadids,"Cods, hakes, haddocks"
Gadus morhua,Atlantic cod,Gadids,gadids,"Cods, hakes, haddocks"
Galeoides decadactylus,Threadfin,Other Marine,other marine percoidids,Miscellaneous coastal fishes
