Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,Ind-E,Bigeye scad,"Indian Ocean, Eastern",THA,BIS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1904,3830,3442,3180,1506,2984,7938,3721,7991,8288,6924,6138,6294,7963,5359,5842,4323,4346,4837
Thailand,Pac-WC,Banana prawn,"Pacific, Western Central",THA,PBA,45,"Shrimps, prawns",shrimps,,,,,,,,,,,,,,,,,,,,,9600,10600,4800,9200,8900,10707,8400,8179,10624,9398,9939,14399,10190,8364,7380,6202,5668,6977,6830,7584,8444,7752,7336,8130,9108,9225,7133,7169,7648,8206,10385,10453,8953,7458,9284,11381,9294,7972,6924,5785,4603,4061,6184,6829,4293,4737
Thailand,Ind-E,Barracudas nei,"Indian Ocean, Eastern",THA,BAR,37,Miscellaneous pelagic fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,0,0,0,200,600,533,236,1247,990,1584,1401,1653,1996,2147,2341,1744,2133,1607,1488,1847,3081,5623,5669,5523,5487,7726,10427,10554,10817,11297,9992,8202,9767,6526,7196,4880,4906,3716,5536,4574,7725,6742,4883,4068,4302,4378
Thailand,Ind-E,"Cuttlefish, bobtail squids nei","Indian Ocean, Eastern",THA,CTL,57,"Squids, cuttlefishes, octopuses",cephalopods,,,,,,,,,,,,,,,,,,,,,200,200,200,200,500,452,368,4328,3738,4277,3273,3693,3671,4842,8576,7036,6503,4967,3961,7846,6515,14952,16960,15911,14333,16561,20456,20630,18162,17942,18805,17916,20350,16153,21758,15278,14602,14962,8554,8191,5798,5303,4382,3744,3489,3857
Thailand,Pac-WC,Marine molluscs nei,"Pacific, Western Central",THA,MOL,58,Miscellaneous marine molluscs,bivalves-gastropods,,,,,,,,,,,,,,,,,,,,,15700,17200,8900,5500,4400,5405,3715,976,2670,2178,2722,2657,5140,3830,2751,3466,2394,2694,1745,2272,,233,226,322,0,0,0,0,99,1664,1391,1389,896,1864,4893,4029,4155,3762,3096,3227,3447,3900,3182,5840,4431,3638
Thailand,Ind-E,Longtail tuna,"Indian Ocean, Eastern",THA,LOT,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,27,205,194,320,227,544,338,305,390,1920,709,1606,7110,6782,5982,2411,1922,1820,1297,1529,1039,5620,2169,3536,2177,3731,2857,2788,2701,5799,4838,1726,3536,3907,2864,1819,2567,6218,4376,5714,2701,9568,7508,3681,4803,3495
Thailand,Pac-WC,"Snappers, jobfishes nei","Pacific, Western Central",THA,SNX,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,3900,4300,6300,3900,3600,3764,6094,3272,5417,4092,4272,4018,3760,3284,3631,3394,4710,4020,4856,4342,4679,2878,7887,13569,11008,12679,9180,8469,11559,8961,5242,4104,6577,6394,11201,10723,6422,5443,974,1070,1622,2033,3677,4210,3233,3312
Thailand,Pac-WC,"Rays, stingrays, mantas nei","Pacific, Western Central",THA,SRX,38,"Sharks, rays, chimaeras",elasmobranchs,1200,1200,1200,1400,1400,1000,1000,1900,1700,1700,2700,2500,2800,3200,3400,7300,7700,2700,4000,6300,3900,4300,5300,6900,5300,5652,3251,5250,4886,3885,4006,4071,3435,3365,3434,4583,7263,8054,5963,6386,5521,4050,3458,3702,7772,6448,4903,5115,4104,7591,8806,8047,11034,13737,11037,5136,4924,4114,3072,2893,2693,1988,2933,3671,3352,3294
Thailand,Pac-WC,Sea catfishes nei,"Pacific, Western Central",THA,CAX,33,Miscellaneous coastal fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,11300,12700,11600,9100,7200,6476,3084,6035,1247,326,255,267,551,645,944,1158,1076,886,1229,759,840,690,706,6878,839,565,3680,3780,3334,8348,9184,7035,8916,8501,9651,7533,6699,5877,1095,1298,661,634,3408,3085,3232,3069
Thailand,Pac-WC,Marine crabs nei,"Pacific, Western Central",THA,CRA,42,"Crabs, sea-spiders",crabs-lobsters,,,,,,,,,,,,,,,,,,,,,0,0,0,400,200,379,3585,139,45,9,31,105,183,147,224,101,371,730,195,1356,1548,800,584,1452,2194,2093,921,989,1723,1510,788,1003,1413,2459,3551,4148,4950,4425,2184,2458,2534,2805,2526,2441,2084,2940
