Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
34,43,Tropical spiny lobsters nei,Panulirus spp,F,F,F,F,F,H,H,H,H,H
34,43,"Other Lobsters, spiny-rock lobsters",,,,,,,,,,,
34,43,"43-Lobsters, spiny-rock lobsters",,,,,,,,,,,
34,45,Deep-water rose shrimp,Parapenaeus longirostris,F,O/N/F,U-F,U-F-O,U-F-O,L,L,,L,L
34,45,Natantian decapods nei,Natantia,,F,F,F,F,,L,M,H,H
34,45,Penaeus shrimps nei,Penaeus spp,O,O ,O,F/O,F/O,L,L,,M,M
34,45,Southern pink shrimp,Penaeus notialis,O,O/F,F-O,F-O,F-O,L,L,H,M,M
34,45,"Other Shrimps, prawns",,,,,, ,,,M,,H
34,45,"45-Shrimps, prawns",,,,,,,,,,,
34,57,Common octopus,Octopus vulgaris,O,O,O,F-O,F-O,L,M,,M,M
34,57,Common squids nei,Loligo spp,,U,U-F,U-F,F-O,,L,M,M,H
34,57,"Cuttlefish, bobtail squids nei","Sepiidae, Sepiolidae",O,O,O,F-O-N,O-U,L,L,,M,M
34,57,"Octopuses, etc. nei",Octopodidae,O,O,O,F-O,F-O,L,L,M,M,M
34,57,Various squids nei,"Loliginidae, Ommastrephidae",,, ,,,,,H,,
34,57,"Other Squids, cuttlefishes, octopuses",,,,,,,,,H,,
34,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
37,24,Black and Caspian Sea sprat,Clupeonella cultriventris,O,O,O,O,O,L,L,L,M,M
37,24,Pontic shad,Alosa pontica,O,O,O,O,O,L,L,L,M,M
37,24,Other Shads,,,,,,,,,,,
37,24,24-Shads,,,,,,,,,,,
37,31,Common sole,Solea solea,O,O,O,O,O,L,L,L,L,L
37,31,"Other Flounders, halibuts, soles",,,,,,O,,,,L,L
37,31,"31-Flounders, halibuts, soles",,,,,,,,,,,
37,32,European hake,Merluccius merluccius,O,O,O,O,O,L,L,L,L,L
37,32,Whiting,Merlangius merlangus,F,F,F-O,O,O,M,M,L,L,L
37,32,"Other Cods, hakes, haddocks",,,,,,,,,,,
37,32,"32-Cods, hakes, haddocks",,,,,,,,,,,
37,33,Bogue,Boops boops,F,F,O,O,,L,L,L,,
37,33,Common dentex,Dentex dentex,,,,,,,,,,
37,33,Common pandora,Pagellus erythrinus,O,O,O,F-O,F-O,L,L,L,M,M
37,33,Dusky grouper,Epinephelus marginatus,O,O,O,O,O,L,L,M,M,M
37,33,European seabass,Dicentrarchus labrax,O,O,O,O,O,M,M,M,L,H
37,33,Flathead grey mullet,Mugil cephalus,F,F,F,F-O,F-O,M,M,M,H,H
37,33,Gilthead seabream,Sparus aurata,O,O,O,O,O,L,L,M,M,H
37,33,Mullets nei,Mugilidae,,,,,,,,,,
37,33,Picarels nei,Spicara spp,,,F,F,F,,,L,L,M
37,33,"Porgies, seabreams nei",Sparidae,O,O,O,O,,L,L,M,,
37,33,Red mullet,Mullus barbatus,O,O,O,F-O,F-O,L,L,L,L,H
37,33,Surmullets(=Red mullets) nei,Mullus spp,,,O,O,O,,,L,L,L
37,33,Other Miscellaneous coastal fishes,,,,,,,,,,,
37,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
37,34,34-Miscellaneous demersal fishes,,,,,,,,,,,L
37,35,European anchovy,Engraulis encrasicolus,F,F,O,O,F-O,L,L,L,L,L
37,35,European pilchard(=Sardine),Sardina pilchardus,F,F,F-O,F-O,F-O,L,L,L,L,M
37,35,European sprat,Sprattus sprattus,O,O,F,F,F,M,M,L,L,M
37,35,Sardinellas nei,Sardinella spp,U,U,F-O,F-O,F-O,L,L,M,M,
37,35,"Other Herrings, sardines, anchovies",,,,,,,,,,,
37,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
37,36,Albacore,Thunnus alalunga, ,,,,,,,,,
37,36,Atlantic bluefin tuna,Thunnus thynnus,,O,,,,,L,,,
